datum,piste_10,piste_16,piste_28,piste_32,piste_34,anzahl_abfluege_total
01.02.26,0,38,202,81,2,323
02.02.26,0,44,245,33,0,322
03.02.26,0,20,160,98,5,283
04.02.26,0,40,228,28,4,300
05.02.26,0,33,240,33,7,313
06.02.26,0,52,243,39,3,337
07.02.26,0,47,192,69,1,309
08.02.26,0,39,230,51,3,323
09.02.26,0,48,257,35,0,340
10.02.26,0,42,241,23,2,308
11.02.26,0,1,0,314,5,320
12.02.26,0,2,39,274,8,323
13.02.26,0,46,268,51,2,367
14.02.26,0,49,224,79,3,355
15.02.26,0,62,212,63,0,337
16.02.26,0,0,0,342,7,349
17.02.26,0,8,88,223,5,324
18.02.26,0,41,234,36,2,313
19.02.26,0,45,247,39,0,331
20.02.26,0,20,184,159,4,367
21.02.26,0,0,0,350,4,354
22.02.26,0,24,220,99,3,346
23.02.26,0,5,108,230,2,345
24.02.26,0,28,272,35,1,336
25.02.26,0,35,264,36,2,337
26.02.26,0,28,279,43,1,351
27.02.26,0,36,287,49,4,376
28.02.26,0,27,131,146,4,308
01.01.26,0,31,193,91,0,315
02.01.26,0,32,261,66,0,359
03.01.26,0,32,216,107,5,360
04.01.26,0,33,208,111,1,353
05.01.26,0,35,267,39,2,343
06.01.26,0,27,191,79,1,298
07.01.26,0,25,222,35,2,284
08.01.26,0,38,249,13,1,301
09.01.26,0,0,0,309,4,313
10.01.26,0,40,190,44,4,278
11.01.26,0,33,206,91,2,332
12.01.26,0,35,239,31,2,307
13.01.26,0,26,213,27,2,268
14.01.26,0,28,229,31,1,289
15.01.26,0,27,258,32,3,320
16.01.26,0,34,249,39,4,326
17.01.26,0,28,196,66,0,290
18.01.26,0,35,229,86,2,352
19.01.26,0,37,332,8,7,384
20.01.26,0,24,265,10,5,304
21.01.26,0,31,264,17,4,316
22.01.26,0,36,319,21,12,388
23.01.26,0,52,330,13,7,402
24.01.26,0,40,174,76,1,291
25.01.26,0,27,209,81,3,320
26.01.26,0,33,231,33,0,297
27.01.26,0,31,226,26,1,284
28.01.26,0,44,234,30,1,309
29.01.26,0,39,233,37,1,310
30.01.26,0,48,242,43,5,338
31.01.26,0,52,207,30,4,293
01.12.25,0,33,278,39,1,351
02.12.25,0,30,260,5,6,301
03.12.25,0,31,277,32,6,346
04.12.25,0,33,261,40,3,337
05.12.25,0,38,275,46,2,361
06.12.25,0,38,183,85,2,308
07.12.25,0,35,213,87,3,338
08.12.25,0,38,282,39,1,360
09.12.25,0,30,271,4,8,313
10.12.25,0,34,279,30,6,349
11.12.25,0,33,268,35,2,338
12.12.25,0,39,276,43,2,360
13.12.25,1,34,244,33,6,318
14.12.25,0,34,226,83,2,345
15.12.25,0,37,290,37,2,366
16.12.25,0,38,251,32,4,325
17.12.25,0,44,279,35,1,359
18.12.25,0,39,280,12,9,340
19.12.25,0,44,276,51,3,374
20.12.25,0,48,259,55,4,366
21.12.25,0,51,248,51,6,356
22.12.25,0,47,278,46,1,372
23.12.25,58,62,169,38,3,330
24.12.25,51,32,72,138,10,303
25.12.25,0,46,172,68,4,290
26.12.25,0,41,209,110,3,363
27.12.25,0,46,203,100,0,349
28.12.25,0,43,204,103,3,353
29.12.25,0,36,281,38,1,356
30.12.25,0,34,242,34,0,310
31.12.25,0,29,244,34,0,307
01.11.25,0,53,235,35,11,334
02.11.25,0,45,214,94,7,360
03.11.25,0,41,281,40,1,363
04.11.25,0,32,263,32,1,328
05.11.25,0,40,261,33,4,338
06.11.25,0,40,284,11,7,342
07.11.25,0,47,291,10,13,361
08.11.25,0,43,250,9,12,314
09.11.25,0,39,213,84,5,341
10.11.25,0,44,264,33,8,349
11.11.25,0,34,262,28,2,326
12.11.25,0,38,261,28,5,332
13.11.25,0,36,276,36,3,351
14.11.25,0,38,276,41,4,359
15.11.25,0,35,129,136,8,308
16.11.25,0,40,196,92,7,335
17.11.25,0,14,189,142,3,348
18.11.25,0,26,251,29,2,308
19.11.25,0,30,265,31,3,329
20.11.25,0,11,168,149,4,332
21.11.25,0,41,269,46,1,357
22.11.25,0,31,193,78,2,304
23.11.25,0,31,206,97,1,335
24.11.25,0,39,264,29,7,339
25.11.25,0,24,240,27,3,294
26.11.25,0,29,262,34,1,326
27.11.25,0,29,250,41,2,322
28.11.25,0,31,275,42,3,351
29.11.25,0,35,180,83,0,298
30.11.25,0,33,239,54,5,331
01.10.25,0,47,303,46,8,404
02.10.25,0,45,295,58,5,403
03.10.25,0,33,259,131,4,427
04.10.25,0,0,0,364,17,381
05.10.25,0,4,86,339,8,437
06.10.25,0,36,318,55,4,413
07.10.25,0,37,316,48,3,404
08.10.25,0,34,312,57,4,407
09.10.25,0,36,319,56,3,414
10.10.25,35,45,283,60,3,426
11.10.25,0,43,245,99,5,392
12.10.25,0,42,267,109,3,421
13.10.25,22,44,277,59,2,404
14.10.25,0,37,293,53,3,386
15.10.25,71,35,230,53,5,394
16.10.25,0,37,303,62,1,403
17.10.25,0,38,328,59,2,427
18.10.25,34,35,196,115,6,386
19.10.25,0,35,265,109,3,412
20.10.25,0,48,300,56,5,409
21.10.25,0,37,292,49,6,384
22.10.25,0,38,300,47,8,393
23.10.25,0,4,74,297,6,381
24.10.25,0,0,0,407,10,417
25.10.25,0,8,105,251,13,377
26.10.25,0,0,23,332,13,368
27.10.25,0,0,0,355,11,366
28.10.25,0,7,111,209,7,334
29.10.25,0,35,283,35,4,357
30.10.25,0,41,264,40,2,347
31.10.25,0,45,279,47,4,375
01.09.25,0,48,292,63,5,408
02.09.25,0,39,310,48,7,404
03.09.25,0,41,306,55,1,403
04.09.25,0,35,195,164,6,400
05.09.25,0,51,330,62,1,444
06.09.25,0,51,228,71,13,363
07.09.25,0,42,269,87,2,400
08.09.25,0,17,260,132,1,410
09.09.25,0,29,276,77,3,385
10.09.25,0,44,312,54,3,413
11.09.25,0,3,117,277,3,400
12.09.25,0,36,330,55,5,426
13.09.25,0,38,270,60,6,374
14.09.25,0,38,256,99,5,398
15.09.25,0,7,108,295,4,414
16.09.25,0,4,53,334,7,398
17.09.25,0,33,306,53,0,392
18.09.25,0,43,309,55,1,408
19.09.25,0,40,335,57,3,435
20.09.25,0,41,212,109,3,365
21.09.25,0,15,93,291,5,404
22.09.25,0,41,242,121,3,407
23.09.25,0,42,299,50,2,393
24.09.25,0,32,307,55,3,397
25.09.25,0,34,308,56,5,403
26.09.25,0,42,314,59,3,418
27.09.25,0,36,256,98,5,395
28.09.25,0,43,259,110,2,414
29.09.25,0,39,332,56,2,429
30.09.25,0,43,296,56,5,400
01.08.25,0,21,209,156,23,409
02.08.25,0,44,252,92,5,393
03.08.25,0,46,249,104,4,403
04.08.25,0,43,315,54,3,415
05.08.25,0,17,135,239,8,399
06.08.25,0,43,295,57,4,399
07.08.25,0,37,297,63,3,400
08.08.25,0,44,311,58,5,418
09.08.25,0,53,246,92,4,395
10.08.25,0,48,230,131,4,413
11.08.25,0,55,287,53,4,399
12.08.25,0,51,286,58,3,398
13.08.25,0,45,322,52,3,422
14.08.25,0,56,268,61,3,388
15.08.25,0,50,267,104,3,424
16.08.25,0,50,167,168,6,391
17.08.25,0,43,248,105,4,400
18.08.25,0,42,329,53,3,427
19.08.25,0,34,218,132,3,387
20.08.25,0,47,289,58,3,397
21.08.25,0,41,284,61,3,389
22.08.25,0,41,319,63,2,425
23.08.25,0,38,228,118,4,388
24.08.25,0,42,273,100,4,419
25.08.25,0,48,311,58,2,419
26.08.25,0,35,227,125,6,393
27.08.25,0,45,270,82,2,399
28.08.25,0,50,287,53,3,393
29.08.25,0,50,299,59,3,411
30.08.25,0,42,221,113,4,380
31.08.25,0,42,247,104,2,395
01.07.25,0,50,284,57,3,394
02.07.25,0,65,269,59,4,397
03.07.25,0,11,121,246,8,386
04.07.25,0,48,311,61,3,423
05.07.25,0,54,215,114,5,388
06.07.25,0,12,111,281,8,412
07.07.25,0,13,127,276,8,424
08.07.25,0,3,35,343,11,392
09.07.25,0,45,307,51,2,405
10.07.25,0,53,297,58,7,415
11.07.25,0,46,299,65,2,412
12.07.25,0,48,248,85,5,386
13.07.25,0,35,148,224,7,414
14.07.25,0,38,225,140,4,407
15.07.25,0,15,124,250,6,395
16.07.25,0,36,175,195,4,410
17.07.25,0,55,281,57,3,396
18.07.25,0,51,307,60,4,422
19.07.25,0,40,201,134,6,381
20.07.25,0,53,255,90,9,407
21.07.25,0,60,260,77,6,403
22.07.25,0,17,157,215,4,393
23.07.25,0,47,301,53,3,404
24.07.25,0,47,302,63,4,416
25.07.25,0,52,289,62,4,407
26.07.25,0,61,223,92,5,381
27.07.25,0,46,243,103,4,396
28.07.25,0,17,222,167,10,416
29.07.25,0,45,295,54,3,397
30.07.25,0,31,217,150,4,402
31.07.25,0,50,301,58,2,411
01.06.25,0,34,136,222,2,394
02.06.25,0,30,214,164,3,411
03.06.25,0,26,221,141,3,391
04.06.25,0,23,198,154,2,377
05.06.25,0,35,320,52,3,410
06.06.25,0,14,235,175,5,429
07.06.25,0,11,64,297,14,386
08.06.25,0,0,0,378,12,390
09.06.25,0,32,272,91,6,401
10.06.25,0,33,307,50,2,392
11.06.25,0,37,307,50,4,398
12.06.25,0,40,316,53,2,411
13.06.25,0,52,307,50,6,415
14.06.25,0,64,258,52,5,379
15.06.25,0,35,192,155,1,383
16.06.25,10,48,306,51,2,417
17.06.25,78,36,222,51,4,391
18.06.25,0,34,318,53,3,408
19.06.25,0,53,246,93,6,398
20.06.25,0,55,286,59,3,403
21.06.25,0,46,225,89,5,365
22.06.25,0,45,256,101,5,407
23.06.25,0,0,65,335,8,408
24.06.25,0,1,112,267,4,384
25.06.25,0,42,302,51,2,397
26.06.25,0,13,152,221,5,391
27.06.25,0,34,288,92,5,419
28.06.25,0,46,238,91,3,378
29.06.25,0,60,233,110,3,406
30.06.25,0,54,307,58,4,423
01.05.25,0,35,225,118,2,380
02.05.25,0,34,292,51,4,381
03.05.25,0,34,236,89,5,364
04.05.25,0,18,164,210,6,398
05.05.25,72,46,220,58,3,399
06.05.25,45,40,236,46,3,370
07.05.25,7,46,276,51,3,383
08.05.25,161,37,136,58,1,393
09.05.25,229,36,51,65,2,383
10.05.25,0,37,213,103,4,357
11.05.25,0,45,239,104,1,389
12.05.25,0,36,256,101,1,394
13.05.25,0,29,280,50,1,360
14.05.25,0,31,303,50,1,385
15.05.25,0,21,176,198,1,396
16.05.25,0,49,314,52,2,417
17.05.25,0,39,209,104,4,356
18.05.25,0,34,251,99,2,386
19.05.25,0,51,290,51,1,393
20.05.25,0,33,288,43,1,365
21.05.25,0,34,295,50,6,385
22.05.25,0,33,302,53,2,390
23.05.25,0,34,190,202,2,428
24.05.25,0,19,126,211,3,359
25.05.25,0,40,202,138,4,384
26.05.25,0,8,147,246,3,404
27.05.25,0,31,304,52,1,388
28.05.25,0,9,87,305,4,405
29.05.25,0,35,255,89,1,380
30.05.25,0,34,306,54,2,396
31.05.25,0,39,238,86,3,366
01.04.25,290,32,0,13,0,335
02.04.25,203,32,69,46,5,355
03.04.25,0,39,268,50,1,358
04.04.25,0,48,291,54,2,395
05.04.25,0,48,206,91,5,350
06.04.25,189,36,20,109,2,356
07.04.25,17,41,276,51,4,389
08.04.25,0,38,286,49,1,374
09.04.25,0,38,274,48,3,363
10.04.25,0,43,277,50,0,370
11.04.25,0,48,294,56,3,401
12.04.25,0,45,213,85,4,347
13.04.25,0,39,230,97,5,371
14.04.25,0,46,279,51,4,380
15.04.25,0,41,269,47,3,360
16.04.25,0,12,119,243,6,380
17.04.25,0,41,264,87,2,394
18.04.25,0,42,247,99,1,389
19.04.25,0,47,212,84,3,346
20.04.25,0,10,105,239,5,359
21.04.25,0,27,149,202,2,380
22.04.25,0,40,275,44,1,360
23.04.25,0,34,187,141,3,365
24.04.25,0,25,257,84,1,367
25.04.25,0,35,295,55,1,386
26.04.25,79,44,118,114,0,355
27.04.25,0,43,234,102,1,380
28.04.25,0,30,299,50,2,381
29.04.25,17,33,259,44,6,359
30.04.25,0,47,277,44,4,372
01.03.25,159,41,31,79,2,312
02.03.25,96,34,95,100,3,328
03.03.25,0,37,272,35,3,347
04.03.25,0,29,264,29,1,323
05.03.25,0,30,267,30,1,328
06.03.25,0,30,263,31,1,325
07.03.25,0,42,273,39,4,358
08.03.25,0,38,189,80,4,311
09.03.25,0,43,182,102,1,328
10.03.25,0,29,197,83,3,312
11.03.25,0,36,252,29,3,320
12.03.25,0,32,276,33,1,342
13.03.25,0,29,184,129,1,343
14.03.25,0,51,266,39,2,358
15.03.25,183,36,0,83,5,307
16.03.25,0,46,205,87,2,340
17.03.25,195,32,81,38,1,347
18.03.25,0,36,243,30,1,310
19.03.25,0,25,280,33,1,339
20.03.25,0,35,252,34,2,323
21.03.25,0,51,247,37,3,338
22.03.25,0,53,207,36,3,299
23.03.25,0,40,205,86,4,335
24.03.25,0,44,262,35,2,343
25.03.25,0,30,256,31,1,318
26.03.25,0,32,267,38,0,337
27.03.25,101,42,167,36,2,348
28.03.25,0,44,287,41,3,375
29.03.25,0,18,138,132,8,296
30.03.25,0,11,88,265,7,371
31.03.25,0,13,240,105,11,369
01.02.25,0,34,169,70,6,279
02.02.25,0,33,195,89,7,324
03.02.25,0,33,244,29,4,310
04.02.25,0,21,236,25,1,283
05.02.25,0,30,269,9,1,309
06.02.25,0,33,255,32,2,322
07.02.25,0,38,268,39,4,349
08.02.25,0,36,179,77,3,295
09.02.25,0,30,214,79,3,326
10.02.25,0,37,260,32,2,331
11.02.25,0,32,228,29,2,291
12.02.25,0,35,249,25,7,316
13.02.25,0,9,138,160,6,313
14.02.25,0,47,260,42,2,351
15.02.25,0,41,207,69,2,319
16.02.25,0,34,181,96,2,313
17.02.25,0,40,258,33,1,332
18.02.25,47,34,196,27,1,305
19.02.25,0,29,261,37,0,327
20.02.25,0,34,253,34,0,321
21.02.25,0,37,267,41,2,347
22.02.25,0,46,193,84,2,325
23.02.25,0,35,196,95,4,330
24.02.25,0,35,265,26,6,332
25.02.25,0,28,244,37,1,310
26.02.25,0,7,99,213,6,325
27.02.25,0,48,240,33,3,324
28.02.25,0,38,280,43,0,361
01.01.25,0,37,230,24,1,292
02.01.25,0,0,0,325,4,329
03.01.25,0,27,280,50,1,358
04.01.25,0,34,258,2,15,309
05.01.25,0,49,248,50,6,353
06.01.25,0,32,164,134,4,334
07.01.25,0,0,0,269,8,277
08.01.25,0,34,206,36,6,282
09.01.25,0,0,43,250,6,299
10.01.25,0,30,249,39,4,322
11.01.25,0,30,164,72,0,266
12.01.25,0,26,181,97,1,305
13.01.25,88,29,148,31,0,296
14.01.25,0,24,221,22,0,267
15.01.25,32,30,197,30,2,291
16.01.25,0,34,234,28,1,297
17.01.25,0,38,257,37,3,335
18.01.25,0,32,188,51,3,274
19.01.25,0,27,214,82,3,326
20.01.25,0,28,316,11,2,357
21.01.25,0,26,240,8,2,276
22.01.25,0,38,266,34,4,342
23.01.25,0,7,137,203,8,355
24.01.25,0,43,312,34,5,394
25.01.25,0,40,162,72,4,278
26.01.25,0,7,94,192,6,299
27.01.25,0,41,211,54,1,307
28.01.25,0,25,183,71,2,281
29.01.25,0,5,92,194,5,296
30.01.25,0,26,235,27,3,291
31.01.25,0,38,263,37,4,342
01.12.24,0,29,205,83,2,319
02.12.24,0,34,252,32,3,321
03.12.24,0,7,149,131,5,292
04.12.24,0,31,255,29,2,317
05.12.24,0,35,261,24,1,321
06.12.24,0,0,0,320,9,329
07.12.24,0,39,171,54,4,268
08.12.24,0,33,185,93,3,314
09.12.24,15,46,225,33,5,324
10.12.24,135,30,117,27,2,311
11.12.24,0,32,256,27,3,318
12.12.24,0,33,252,32,2,319
13.12.24,0,38,261,38,2,339
14.12.24,0,37,164,85,4,290
15.12.24,0,12,137,177,5,331
16.12.24,0,36,260,33,4,333
17.12.24,0,36,252,27,0,315
18.12.24,0,47,255,31,3,336
19.12.24,0,3,38,280,15,336
20.12.24,0,41,289,42,2,374
21.12.24,0,42,198,93,3,336
22.12.24,0,0,12,311,18,341
23.12.24,0,56,242,44,2,344
24.12.24,0,42,215,32,1,290
25.12.24,0,40,162,76,1,279
26.12.24,0,41,186,94,0,321
27.12.24,0,39,287,9,17,352
28.12.24,0,45,263,10,15,333
29.12.24,0,40,274,12,13,339
30.12.24,0,33,275,8,8,324
31.12.24,0,33,230,7,2,272
01.11.24,0,39,220,82,2,343
02.11.24,0,41,219,35,13,308
03.11.24,0,36,207,87,4,334
04.11.24,0,34,278,33,4,349
05.11.24,0,32,252,30,0,314
06.11.24,0,33,265,27,1,326
07.11.24,0,40,276,32,4,352
08.11.24,0,37,285,38,3,363
09.11.24,0,39,209,40,9,297
10.11.24,0,33,220,86,3,342
11.11.24,0,35,257,32,4,328
12.11.24,168,35,68,30,1,302
13.11.24,0,27,260,30,1,318
14.11.24,0,29,258,31,0,318
15.11.24,0,38,274,36,1,349
16.11.24,0,37,211,34,8,290
17.11.24,0,25,108,188,5,326
18.11.24,0,14,183,119,3,319
19.11.24,0,25,152,113,2,292
20.11.24,0,22,173,115,3,313
21.11.24,0,38,200,48,3,289
22.11.24,0,40,232,38,4,314
23.11.24,0,30,163,80,4,277
24.11.24,0,34,227,50,11,322
25.11.24,12,30,240,32,4,318
26.11.24,0,31,237,25,2,295
27.11.24,0,28,255,24,4,311
28.11.24,0,26,194,87,2,309
29.11.24,0,38,248,32,4,322
30.11.24,0,35,189,54,2,280
01.10.24,0,47,285,48,3,383
02.10.24,0,10,121,270,7,408
03.10.24,0,44,214,107,5,370
04.10.24,0,56,278,55,8,397
05.10.24,0,45,222,108,6,381
06.10.24,0,42,268,101,3,414
07.10.24,0,50,300,56,4,410
08.10.24,0,48,287,49,3,387
09.10.24,0,40,286,56,8,390
10.10.24,0,6,62,310,12,390
11.10.24,0,18,273,123,8,422
12.10.24,0,41,219,111,4,375
13.10.24,0,0,0,392,10,402
14.10.24,0,41,316,38,10,405
15.10.24,0,41,277,52,3,373
16.10.24,0,44,295,50,7,396
17.10.24,0,39,295,33,20,387
18.10.24,0,37,312,59,3,411
19.10.24,0,36,270,54,11,371
20.10.24,0,36,267,100,5,408
21.10.24,0,38,291,40,16,385
22.10.24,0,35,281,48,2,366
23.10.24,0,36,293,53,6,388
24.10.24,0,34,286,47,2,369
25.10.24,0,41,309,36,13,399
26.10.24,0,46,200,101,6,353
27.10.24,0,38,202,104,4,348
28.10.24,0,40,291,7,9,347
29.10.24,0,38,262,2,11,313
30.10.24,0,38,270,25,7,340
31.10.24,0,45,261,32,3,341
01.09.24,0,52,169,145,5,371
02.09.24,0,45,304,50,4,403
03.09.24,0,42,295,44,3,384
04.09.24,0,44,300,58,3,405
05.09.24,0,33,218,140,4,395
06.09.24,0,45,304,60,2,411
07.09.24,0,66,214,95,4,379
08.09.24,0,44,221,131,2,398
09.09.24,0,3,71,324,13,411
10.09.24,0,0,61,309,6,376
11.09.24,0,12,171,205,6,394
12.09.24,7,29,192,156,3,387
13.09.24,0,10,167,225,9,411
14.09.24,0,39,230,93,3,365
15.09.24,114,45,100,125,3,387
16.09.24,0,38,317,51,3,409
17.09.24,0,51,281,32,15,379
18.09.24,107,36,190,50,4,387
19.09.24,0,45,304,47,9,405
20.09.24,0,47,311,50,4,412
21.09.24,0,46,202,112,3,363
22.09.24,0,43,226,114,4,387
23.09.24,0,43,295,51,3,392
24.09.24,0,33,195,138,3,369
25.09.24,0,39,291,55,3,388
26.09.24,0,50,302,45,4,401
27.09.24,0,14,119,264,12,409
